PMG11_00191	1833	3
PMG11_00192	672	8
PMG11_00193	942	8
PMG11_00194	1683	3
PMG11_00195	273	1
PMG11_00196	1281	10
PMG11_00197	873	4
PMG11_00198	1965	256
PMG11_00199	888	130
PMG11_00200	2151	28
PMG11_00201	1272	29
PMG11_00202	228	16
PMG11_00203	918	43
PMG11_00204	1326	104
PMG11_00205	3150	37
PMG11_00206	1662	69
PMG11_00207	471	0
PMG11_00208	2136	10
PMG11_00209	741	50
PMG11_00210	2652	16
PMG11_00211	837	29
PMG11_00212	189	0
PMG11_00213	924	41
PMG11_00214	1098	140
PMG11_00215	1623	68
PMG11_00216	1653	11
PMG11_00217	1593	274
PMG11_00218	1803	0
PMG11_00219	1809	21
PMG11_00220	1113	11
PMG11_00221	927	12
PMG11_00222	5064	3
PMG11_00223	1452	18
PMG11_00224	1911	1
PMG11_00225	2385	12
PMG11_00226	1338	1031
PMG11_00227	1746	3
PMG11_00228	531	66
PMG11_00229	1461	17
PMG11_00230	372	39
PMG11_00231	1362	19
PMG11_00232	2949	26
PMG11_00233	1836	71
PMG11_00234	741	83
PMG11_00235	7305	0
PMG11_00236	2316	42
PMG11_00237	1251	2
PMG11_00238	1395	1
PMG11_00239	1401	34
PMG11_00240	1158	25
PMG11_00241	1539	4
PMG11_00242	2829	126
PMG11_00243	1392	30
PMG11_00244	1419	38
PMG11_00245	2058	30
PMG11_00246	2127	64
PMG11_00247	513	0
PMG11_00248	1407	92
PMG11_00249	726	142
PMG11_00250	789	0
PMG11_00251	4425	67
PMG11_00252	951	52
PMG11_00253	3540	89
PMG11_00254	576	70
PMG11_00255	816	16
PMG11_00256	1845	6
PMG11_00257	2376	1
PMG11_00258	4008	0
PMG11_00259	1932	9
PMG11_00260	444	37
PMG11_00261	855	24
PMG11_00262	489	12
PMG11_00263	834	1
PMG11_00264	852	16
PMG11_00265	1548	29
PMG11_00266	1431	39
PMG11_00267	2151	69
PMG11_00268	549	76
PMG11_00269	1056	3
PMG11_00270	1527	14
PMG11_00271	1605	227
PMG11_00272	1101	7
PMG11_00273	1140	65
PMG11_00274	2601	70
PMG11_00275	876	18
PMG11_00276	825	0
PMG11_00277	1890	4
PMG11_00278	876	19
PMG11_00279	1959	1
PMG11_00280	1914	0
PMG11_00281	1911	13
PMG11_00282	1092	54
PMG11_00283	987	173
PMG11_00284	765	45
PMG11_00285	612	524
PMG11_00286	3795	38
PMG11_00287	1599	78
PMG11_00288	1275	16
PMG11_00289	2229	52
PMG11_00290	540	7
PMG11_00291	801	19
PMG11_00292	3330	16
PMG11_00293	552	209
PMG11_00294	3312	39
PMG11_00295	741	9
PMG11_00296	270	68
PMG11_00297	2538	42
PMG11_00298	1701	12
PMG11_00299	3231	170
PMG11_00300	1608	20
PMG11_00301	801	57
PMG11_00302	276	1
PMG11_00303	1209	24
PMG11_00304	1512	16
PMG11_00305	900	14
PMG11_00306	2358	82
PMG11_00307	447	9
PMG11_00308	1788	4
PMG11_00309	975	3
PMG11_00310	1200	26
PMG11_00311	1035	16
PMG11_00312	588	29
PMG11_00313	3429	39
PMG11_00314	1212	14
PMG11_00315	1641	24
PMG11_00316	2304	15
PMG11_00317	270	49
PMG11_00318	1452	18
PMG11_00319	498	244
PMG11_00320	198	1314
PMG11_00321	1518	12
PMG11_00322	1299	34
PMG11_00323	1995	30
PMG11_00324	954	50
PMG11_00325	4941	376
PMG11_00326	498	702
PMG11_00327	2316	130
PMG11_00328	1509	26
PMG11_00329	744	26
PMG11_00330	864	10
PMG11_00331	1011	11
PMG11_00332	2541	24
PMG11_00333	1305	21
PMG11_00334	540	16
PMG11_00335	624	5
PMG11_00336	1158	48
PMG11_00337	1287	1
PMG11_00338	2589	74
PMG11_00339	894	367
PMG11_00340	705	10
PMG11_00341	1518	12
PMG11_00342	1386	15
PMG11_00343	6198	177
PMG11_00344	5943	66
PMG11_00345	1110	833
PMG11_00346	4755	52
PMG11_00347	1134	148
PMG11_00348	2847	13
PMG11_00349	4893	89
PMG11_00350	1026	41
PMG11_00351	5925	78
PMG11_00352	840	39
PMG11_00353	225	528
PMG11_00354	510	11
PMG11_00355	273	76
PMG11_00356	3249	201
PMG11_00357	1200	54
PMG11_00358	1092	56
PMG11_00359	447	16
PMG11_00360	1242	269
PMG11_00361	1500	27
PMG11_00362	942	1075
PMG11_00363	2622	26
PMG11_00364	2088	65
PMG11_00365	1524	31
PMG11_00366	3579	191
PMG11_00367	798	18
PMG11_00368	828	2
PMG11_00369	1539	4
PMG11_00370	1671	20
PMG11_00371	1650	42
PMG11_00372	477	308
PMG11_00373	1323	72
PMG11_00374	573	28
PMG11_00375	2523	165
PMG11_00376	453	30
PMG11_00377	1821	211
PMG11_00378	3243	44
PMG11_00379	846	2
PMG11_00380	1533	10
PMG11_00381	2001	1
PMG11_00382	2226	382
PMG11_00383	570	129
PMG11_00384	1902	158
PMG11_00385	2445	211
PMG11_00386	2139	71
PMG11_00387	297	1
PMG11_00388	351	8
PMG11_00389	3042	4
PMG11_00390	1833	33
PMG11_00391	777	30
PMG11_00392	777	3
PMG11_00393	1410	1
PMG11_00394	1002	65
PMG11_00395	378	92
PMG11_00396	2055	43
PMG11_00397	384	35
PMG11_00398	285	68
PMG11_00399	2475	281
PMG11_00400	2385	36
PMG11_00401	969	5
PMG11_00402	960	2
PMG11_00403	819	11
PMG11_00404	1032	20
PMG11_00405	1665	32
PMG11_00406	2379	38
PMG11_00407	4251	14
PMG11_00408	1092	11
PMG11_00409	1695	157
PMG11_00410	285	110
PMG11_00411	2565	50
PMG11_00412	1251	29
PMG11_00413	1008	2
PMG11_00414	1362	30
PMG11_00415	522	890
PMG11_00416	984	58
PMG11_00417	864	13
PMG11_00418	585	0
PMG11_00419	2511	46
PMG11_00420	699	5
PMG11_00421	2358	50
PMG11_00422	969	34
PMG11_00423	1677	26
PMG11_00424	6960	14
PMG11_00425	1980	58
PMG11_00426	1293	2
PMG11_00427	612	929
PMG11_00428	7371	23
PMG11_00429	2418	0
PMG11_00430	507	6
PMG11_00431	1209	0
PMG11_00432	489	0
PMG11_00433	414	1
PMG11_00434	438	0
PMG11_00435	1047	32
PMG11_00436	819	23
PMG11_00437	2169	2
PMG11_00438	1464	0
PMG11_00439	2520	1
PMG11_00440	1605	6
PMG11_00441	2547	41
PMG11_00442	969	85
PMG11_00443	597	24
PMG11_00444	2859	101
PMG11_00445	429	27
PMG11_00446	1350	9
PMG11_00447	1362	34
PMG11_00448	489	0
PMG11_00449	993	0
PMG11_00450	3147	28
PMG11_00451	1524	3
PMG11_00452	1263	67
PMG11_00453	750	14
PMG11_00454	711	50
PMG11_00455	807	1
PMG11_00456	1713	37
PMG11_00457	237	0
PMG11_00458	1497	40
PMG11_00459	1296	85
PMG11_00460	1017	32
PMG11_00461	1503	608
PMG11_00462	888	71
PMG11_00463	1812	41
PMG11_00464	1341	19
PMG11_00465	1680	48
PMG11_00466	4188	390
PMG11_00467	375	0
PMG11_00468	1266	80
PMG11_00469	1455	33
PMG11_00470	927	10
PMG11_00471	1254	128
PMG11_00472	1563	25
PMG11_00473	309	118
PMG11_00474	1557	22
PMG11_00475	1401	81
PMG11_00476	6471	92
PMG11_00477	4296	31
PMG11_00478	1173	61
PMG11_00479	1785	21
PMG11_00480	1095	138
PMG11_00481	2565	47
PMG11_00482	1524	841
PMG11_00483	471	284
PMG11_00484	654	33
PMG11_00485	606	1747
PMG11_00486	1197	9
PMG11_00487	2577	67
PMG11_00488	2868	132
PMG11_00489	393	45
PMG11_00490	3729	44
PMG11_00491	2259	443
PMG11_00492	2283	22
PMG11_00493	1074	3
PMG11_00494	810	2
PMG11_00495	1230	5
PMG11_00496	1407	85
PMG11_00497	2130	7
PMG11_00498	660	0
PMG11_00499	354	0
PMG11_00500	1989	0
PMG11_00501	702	8
PMG11_00502	1635	3
PMG11_00503	732	28
PMG11_00504	690	10
PMG11_00505	735	7
PMG11_00506	1062	0
PMG11_00507	1221	2
PMG11_00508	1524	19
PMG11_00509	1812	9
PMG11_00510	1215	1
PMG11_00511	1443	0
PMG11_00512	1536	1
PMG11_00513	2556	13
PMG11_00514	1206	9
PMG11_00515	2028	96
PMG11_00516	477	614
PMG11_00517	1671	52
PMG11_00518	390	886
PMG11_00519	879	68
PMG11_00520	1245	23
PMG11_00521	3774	19
PMG11_00522	3165	164
PMG11_00523	666	69
PMG11_00524	1596	171
PMG11_00525	1809	48
PMG11_00526	7599	74
PMG11_00527	2622	52
PMG11_00528	849	24
PMG11_00529	2361	2
PMG11_00530	1884	109
PMG11_00531	1560	48
PMG11_00532	1356	49
PMG11_00533	1191	13
PMG11_00534	2325	74
PMG11_00535	636	47
PMG11_00536	357	17
PMG11_00537	2775	37
PMG11_00538	495	19
PMG11_00539	270	18
PMG11_00540	2469	45
PMG11_00541	924	58
PMG11_00542	2313	43
PMG11_00543	3327	54
PMG11_00544	1827	12
PMG11_00545	1521	6
PMG11_00546	2328	104
PMG11_00547	1593	261
PMG11_00548	336	105
PMG11_00549	1302	70
PMG11_00550	2499	24
PMG11_00551	558	22
PMG11_00552	1509	32
PMG11_00553	1005	37
PMG11_00554	2403	156
PMG11_00555	276	114
PMG11_00556	849	235
PMG11_00557	1242	86
PMG11_00558	1440	112
PMG11_00559	873	369
PMG11_00560	1935	80
PMG11_00561	1623	0
PMG11_00562	1125	0
PMG11_00563	1215	0
