"gene_ID","gene_length","logFC","fold_change","direction","AveExpr","t","P.Value","adj.P.Val","BGC_class","enzyme","product"
"PMG11_07709",324,-0.623404090809347,0.649137456129554,"down in DK1042 WT",5.3928405051824,0,0.863090510382787,0.999950541728852,"","","Putative WD domain protein"
"PMG11_03330",8658,-0.521256563925359,0.696764698087116,"down in DK1042 WT",8.04617402178111,0,0.863112674126793,0.999950541728852,"","","hypothetical protein"
"PMG11_01059",1212,0.42206689420028,1.33984572631954,"up in DK1042 WT",3.58602610176898,0,0.863163136312236,0.999950541728852,"","","hypothetical protein"
"PMG11_04930",1830,-0.538545143942449,0.688464827282393,"down in DK1042 WT",8.13696162975115,0,0.863266610595809,0.999950541728852,"","","Putative ATP-dependent RNA helicase dbp9"
"PMG11_06738",3429,-0.394893175418297,0.76054568926108,"down in DK1042 WT",4.22638902420175,0,0.863277917159136,0.999950541728852,"","","hypothetical protein"
"PMG11_08096",1005,-0.437041365008501,0.738647852947602,"down in DK1042 WT",4.9510060948725,0,0.863322663138881,0.999950541728852,"","","hypothetical protein"
"PMG11_05748",1110,0.47266589908988,1.38767132334557,"up in DK1042 WT",5.53368810455767,0,0.863442707193814,0.999950541728852,"","","Putative Transmembrane protein UsgS"
"PMG11_04609",789,-0.432652081879957,0.740898551424145,"down in DK1042 WT",4.75254006298478,0,0.86351305564426,0.999950541728852,"","","Putative Short chain dehydrogenase/reductase family (AFU_orthologue; AFUA_4G13550)"
"PMG11_00419",2511,-0.419739961426363,0.747559356013976,"down in DK1042 WT",6.07701370697806,0,0.863626029876919,0.999950541728852,"","","Putative Urease"
"PMG11_01311",378,0.52606953017469,1.44000071716507,"up in DK1042 WT",5.09360337610719,0,0.863630155021214,0.999950541728852,"","","Putative BolA domain protein"
"PMG11_10921",1698,0.46429398431546,1.37964202891069,"up in DK1042 WT",4.46137609985912,0,0.863768190087735,0.999950541728852,"","","hypothetical protein"
"PMG11_06508",2562,-0.54507317499672,0.685356639604897,"down in DK1042 WT",5.75867919256088,0,0.863845706727802,0.999950541728852,"","","Putative Protein kinase response regulator receiver domain-containing protein"
"PMG11_10540",369,-0.603636018900092,0.658093273551522,"down in DK1042 WT",8.40996313133436,0,0.863853844365284,0.999950541728852,"","","Putative Cytochrome b-c1 complex subunit 7"
"PMG11_07979",3012,-0.585479937664277,0.666427602901701,"down in DK1042 WT",5.56160391527507,0,0.86385778020524,0.999950541728852,"","","hypothetical protein"
"PMG11_00727",804,-0.467807511163809,0.723062614088476,"down in DK1042 WT",5.25255220434355,0,0.863903173739702,0.999950541728852,"","","hypothetical protein"
"PMG11_09388",1809,0.423584556521199,1.34125593654475,"up in DK1042 WT",4.96383702380622,0,0.863937116691559,0.999950541728852,"","","hypothetical protein"
"PMG11_05610",1977,0.532871235745866,1.44680574896228,"up in DK1042 WT",5.71353326011245,0,0.863990252294753,0.999950541728852,"","","Putative DNA lyase-like protein (Fragment)"
"PMG11_02865",357,-0.450718243069034,0.731678492493562,"down in DK1042 WT",3.86531756039274,0,0.863998376233901,0.999950541728852,"","","hypothetical protein"
"PMG11_10944",1140,-0.675679430096338,0.626037320696149,"down in DK1042 WT",7.12390062421635,0,0.864081112633675,0.999950541728852,"","","Putative 16S rRNA (-N6/-N6)-dimethyltransferase"
"PMG11_05250",1488,0.653929707439144,1.57344822557938,"up in DK1042 WT",6.84330769692684,0,0.86413182206825,0.999950541728852,"","","Putative Proteasome regulatory particle subunit"
"PMG11_02042",900,0.492087216488237,1.40647822438484,"up in DK1042 WT",5.0183154722992,0,0.864177679710841,0.999950541728852,"","","hypothetical protein"
"PMG11_10295",5358,-0.637850924217866,0.642669573287857,"down in DK1042 WT",6.55391224666895,0,0.864179805783975,0.999950541728852,"","","hypothetical protein"
"PMG11_00688",1311,-0.625286703362959,0.648290931204474,"down in DK1042 WT",6.35908197064848,0,0.864382467853943,0.999950541728852,"","","hypothetical protein"
"PMG11_10183",1455,-0.387964874181431,0.764206866577381,"down in DK1042 WT",2.87169983858774,0,0.864568262021598,0.999950541728852,"","","hypothetical protein"
"PMG11_03909",2301,0.614506982114317,1.5310347011381,"up in DK1042 WT",7.51324994975311,0,0.864632471848808,0.999950541728852,"","","Putative Nuclear elongation and deformation protein 1"
"PMG11_06388",828,0.563066599040072,1.47740626342044,"up in DK1042 WT",5.43974240040861,0,0.864896784440725,0.999950541728852,"","","Putative OPA3 domain protein"
"PMG11_06169",1071,0.33166491273849,1.25846484248401,"up in DK1042 WT",5.93121965658578,0,0.865111321418937,0.999950541728852,"","","hypothetical protein"
"PMG11_07479",534,-0.580421710529718,0.668768262863889,"down in DK1042 WT",8.08737180748943,0,0.865172612016808,0.999950541728852,"","","Putative Cytochrome c oxidase polypeptide 5, mitochondrial"
"PMG11_03329",2322,-0.635556163925911,0.643692621187422,"down in DK1042 WT",6.82425919737503,0,0.865188284446248,0.999950541728852,"","","Putative Dolichyl-phosphate-mannose:protein O-mannosyl transferase"
"PMG11_03443",2295,-0.615608104678303,0.652654737642522,"down in DK1042 WT",8.00970062883032,0,0.865194263363408,0.999950541728852,"","","hypothetical protein"
"PMG11_01717",3153,0.569131973724565,1.48363064603346,"up in DK1042 WT",5.09449845730136,0,0.865310808604955,0.999950541728852,"","","Putative Glycylpeptide N-tetradecanoyltransferase"
"PMG11_05116",756,-0.678036111074816,0.625015506777613,"down in DK1042 WT",6.42684399104262,0,0.865319742874627,0.999950541728852,"","","Putative 60S ribosomal protein L6"
"PMG11_05218",894,-0.591468025245443,0.663667243722306,"down in DK1042 WT",5.25027238859172,0,0.86532619970367,0.999950541728852,"","","hypothetical protein"
"PMG11_03843",1803,0.344936708575388,1.27009526189129,"up in DK1042 WT",3.26666261031363,0,0.865407849680176,0.999950541728852,"","","hypothetical protein"
"PMG11_04997",906,0.583389153996916,1.49836505039912,"up in DK1042 WT",6.50515481878547,0,0.865546287412586,0.999950541728852,"","","Putative GATA transcription factor"
"PMG11_06913",1761,-0.646312204022983,0.638911404079492,"down in DK1042 WT",6.49815057493764,0,0.865592684356801,0.999950541728852,"","","hypothetical protein"
"PMG11_05712",1101,-0.625258951541376,0.648303401911581,"down in DK1042 WT",9.29234303472297,0,0.865772487871291,0.999950541728852,"","","hypothetical protein"
"PMG11_01747",1317,-0.575831843700472,0.670899305937991,"down in DK1042 WT",5.10992476400722,0,0.865779793406483,0.999950541728852,"","","hypothetical protein"
"PMG11_04829",2571,-0.602595438792306,0.658568111111555,"down in DK1042 WT",5.47644575769389,0,0.86578124845176,0.999950541728852,"","","hypothetical protein"
"PMG11_10645",351,0.470536945063917,1.38562507680784,"up in DK1042 WT",3.92509882876549,0,0.86588150114741,0.999950541728852,"","","hypothetical protein"
"PMG11_09013",1758,0.579179380125613,1.49399920468709,"up in DK1042 WT",7.01533368169032,0,0.866063378095818,0.999950541728852,"","","hypothetical protein"
"PMG11_01116",2571,0.522294800415294,1.43623796161574,"up in DK1042 WT",5.31236813988144,0,0.866087303368774,0.999950541728852,"","","hypothetical protein"
"PMG11_01421",1239,-0.539582028799714,0.68797019587013,"down in DK1042 WT",6.91820794472599,0,0.866169544219771,0.999950541728852,"","","hypothetical protein"
"PMG11_03614",1740,0.431990941354901,1.34909406338614,"up in DK1042 WT",8.06843431959571,0,0.866185732139808,0.999950541728852,"","","Putative External NADH-ubiquinone oxidoreductase"
"PMG11_00774",1806,0.604822546257882,1.52079168198533,"up in DK1042 WT",7.14465488663359,0,0.866218108128156,0.999950541728852,"","","Putative Protein phophatase 2C family protein"
"PMG11_08116",2748,-0.57142943929404,0.672949691497448,"down in DK1042 WT",6.96386431585087,0,0.866278053289986,0.999950541728852,"","","hypothetical protein"
"PMG11_02422",1029,0.399719826116005,1.3192516849242,"up in DK1042 WT",3.1573298020134,0,0.866368060737931,0.999950541728852,"","","hypothetical protein"
"PMG11_10535",4005,0.55824567054576,1.4724775829116,"up in DK1042 WT",6.30964134810668,0,0.866382107887232,0.999950541728852,"","","Putative Serine-threonine kinase SepH"
"PMG11_05406",717,-0.435247453752938,0.739566891847716,"down in DK1042 WT",4.79932101584916,0,0.866440327433479,0.999950541728852,"","","Putative RNA methylase family protein"
"PMG11_08683",5295,-0.308571053795902,0.807441109512538,"down in DK1042 WT",1.43393339078498,0,0.866441257952112,0.999950541728852,"PKS","","hypothetical protein"
"PMG11_05434",789,0.304979340294837,1.23540094579139,"up in DK1042 WT",3.25229904217266,0,0.866496794193275,0.999950541728852,"","","Putative Mitochondrial peroxiredoxin PRX1"
"PMG11_03898",771,0.312229161440879,1.24162469876686,"up in DK1042 WT",1.75241407127911,0,0.866625471790133,0.999950541728852,"","","hypothetical protein"
"PMG11_03077",1602,-0.305535350170726,0.809141907316232,"down in DK1042 WT",1.20071193974961,0,0.866897906659881,0.999950541728852,"","","hypothetical protein"
"PMG11_07366",2439,0.539578686749945,1.45354797267857,"up in DK1042 WT",4.88813907033928,0,0.866967902165706,0.999950541728852,"","","Putative Fungal transcriptional regulatory protein"
"PMG11_01765",1365,-0.586104848432184,0.66613899887182,"down in DK1042 WT",5.2476233275626,0,0.866977056829193,0.999950541728852,"","","hypothetical protein"
"PMG11_03603",1323,-0.594391947471778,0.662323545815108,"down in DK1042 WT",6.44183950580967,0,0.866994727705251,0.999950541728852,"","","hypothetical protein"
"PMG11_10621",2112,-0.525340041817252,0.694795328037598,"down in DK1042 WT",9.93680330289325,0,0.86717943318986,0.999950541728852,"","","Putative Heat shock protein 90"
"PMG11_01688",972,-0.483629108810105,0.715176328640912,"down in DK1042 WT",3.99003379551043,0,0.867188731095421,0.999950541728852,"","","hypothetical protein"
"PMG11_07924",660,-0.652555474993186,0.636152485279379,"down in DK1042 WT",5.87259493663078,0,0.867331726942029,0.999950541728852,"","","hypothetical protein"
"PMG11_09241",2496,0.478539812694793,1.39333272596069,"up in DK1042 WT",9.50023153978815,0,0.86752642732247,0.999950541728852,"","","Putative E3 ubiquitin-protein ligase"
"PMG11_04121",1062,-0.628505534069573,0.646846126487233,"down in DK1042 WT",8.37106030802957,0,0.867558571521718,0.999950541728852,"","","Putative Guanine nucleotide-binding protein alpha subunit"
"PMG11_07211",621,-0.67256504326665,0.627390225022344,"down in DK1042 WT",6.76409655326713,0,0.867571060653664,0.999950541728852,"","","hypothetical protein"
"PMG11_08491",1035,-0.493105868580129,0.710493881854785,"down in DK1042 WT",3.94039255595397,0,0.867586913562024,0.999950541728852,"","","hypothetical protein"
"PMG11_01609",1692,0.586770070681434,1.5018805458657,"up in DK1042 WT",7.84791819556653,0,0.86759936330786,0.999950541728852,"","","hypothetical protein"
"PMG11_08742",747,-0.630613100160793,0.645901868942186,"down in DK1042 WT",5.8545614674571,0,0.867606437297629,0.999950541728852,"","","hypothetical protein"
"PMG11_05125",1980,0.349361680634894,1.27399682363886,"up in DK1042 WT",2.36899357233474,0,0.86763835460983,0.999950541728852,"","","Putative Function: the yeast gene is a positive regulator of URA1 and URA3 expression"
"PMG11_01540",804,-0.598667660943828,0.660363524249582,"down in DK1042 WT",6.2208071294927,0,0.867828327392646,0.999950541728852,"","","hypothetical protein"
"PMG11_05162",1362,0.595798181758868,1.51130849696804,"up in DK1042 WT",6.07845560575978,0,0.867935964060073,0.999950541728852,"","","hypothetical protein"
"PMG11_00912",567,-0.660859325638009,0.632501442144483,"down in DK1042 WT",7.27412526325659,0,0.868163120915825,0.999950541728852,"","","Putative 50S ribosomal protein L12 (AFU_orthologue; AFUA_4G09750)"
"PMG11_05046",810,-0.304060586454033,0.809969457983291,"down in DK1042 WT",1.18858731032681,0,0.868310084933364,0.999950541728852,"","","Putative Mitochondria protein Fmp29"
"PMG11_07712",2958,-0.566781661092068,0.675121158340413,"down in DK1042 WT",5.96491425069637,0,0.868387788544327,0.999950541728852,"","","hypothetical protein"
"PMG11_02132",1443,-0.488001599668863,0.7130120680896,"down in DK1042 WT",6.96947818090067,0,0.868596668166539,0.999950541728852,"","","Putative Oxysterol-binding protein"
"PMG11_08029",1152,-0.412481333226099,0.75133002739223,"down in DK1042 WT",3.17206670607604,0,0.868607532555401,0.999950541728852,"","","hypothetical protein"
"PMG11_00773",2214,0.510700487056118,1.42474179771017,"up in DK1042 WT",6.21445021456036,0,0.868837856830764,0.999950541728852,"","","Putative Nulp1-pending protein"
"PMG11_07897",798,-0.298373555108232,0.81316861820187,"down in DK1042 WT",7.23411203726131,0,0.868979985203039,0.999950541728852,"","","Putative Vip1 protein"
"PMG11_10843",6759,-0.499503644098692,0.707350101498202,"down in DK1042 WT",4.56398549695491,0,0.869105320514726,0.999950541728852,"","","hypothetical protein"
